first_row,duplicate_row,first_source,duplicate_source,label
316,317,spamassassin,spamassassin,HAM
316,318,spamassassin,spamassassin,HAM
454,460,spamassassin,spamassassin,HAM
786,787,spamassassin,spamassassin,HAM
1841,1842,spamassassin,spamassassin,HAM
1829,1849,spamassassin,spamassassin,HAM
2033,2048,spamassassin,spamassassin,HAM
2034,2050,spamassassin,spamassassin,HAM
2027,2051,spamassassin,spamassassin,HAM
2032,2054,spamassassin,spamassassin,HAM
2053,2068,spamassassin,spamassassin,HAM
2027,2069,spamassassin,spamassassin,HAM
2032,2071,spamassassin,spamassassin,HAM
2037,2072,spamassassin,spamassassin,HAM
2052,2076,spamassassin,spamassassin,HAM
2033,2077,spamassassin,spamassassin,HAM
2044,2080,spamassassin,spamassassin,HAM
2045,2081,spamassassin,spamassassin,HAM
2034,2082,spamassassin,spamassassin,HAM
2053,2107,spamassassin,spamassassin,HAM
2037,2126,spamassassin,spamassassin,HAM
2032,2132,spamassassin,spamassassin,HAM
2052,2138,spamassassin,spamassassin,HAM
2027,2152,spamassassin,spamassassin,HAM
2044,2159,spamassassin,spamassassin,HAM
2045,2162,spamassassin,spamassassin,HAM
2034,2164,spamassassin,spamassassin,HAM
2033,2166,spamassassin,spamassassin,HAM
2514,2516,spamassassin,spamassassin,HAM
2713,2736,spamassassin,spamassassin,HAM
2713,2743,spamassassin,spamassassin,HAM
2990,2991,spamassassin,spamassassin,HAM
3250,3251,spamassassin,spamassassin,HAM
3373,3374,spamassassin,spamassassin,HAM
322,3470,spamassassin,spamassassin,HAM
3515,3516,spamassassin,spamassassin,HAM
3515,3517,spamassassin,spamassassin,HAM
3778,3779,spamassassin,spamassassin,HAM
3778,3780,spamassassin,spamassassin,HAM
4155,4165,spamassassin,spamassassin,SPAM
4154,4172,spamassassin,spamassassin,SPAM
4170,4178,spamassassin,spamassassin,SPAM
4155,4179,spamassassin,spamassassin,SPAM
4154,4184,spamassassin,spamassassin,SPAM
4155,4197,spamassassin,spamassassin,SPAM
4171,4209,spamassassin,spamassassin,SPAM
4167,4235,spamassassin,spamassassin,SPAM
4196,4246,spamassassin,spamassassin,SPAM
4206,4255,spamassassin,spamassassin,SPAM
4162,4256,spamassassin,spamassassin,SPAM
4171,4260,spamassassin,spamassassin,SPAM
4219,4273,spamassassin,spamassassin,SPAM
4196,4275,spamassassin,spamassassin,SPAM
4272,4276,spamassassin,spamassassin,SPAM
4180,4277,spamassassin,spamassassin,SPAM
4302,4309,spamassassin,spamassassin,SPAM
4280,4315,spamassassin,spamassassin,SPAM
4199,4321,spamassassin,spamassassin,SPAM
4171,4322,spamassassin,spamassassin,SPAM
4307,4323,spamassassin,spamassassin,SPAM
4206,4329,spamassassin,spamassassin,SPAM
4328,4334,spamassassin,spamassassin,SPAM
4253,4339,spamassassin,spamassassin,SPAM
4353,4355,spamassassin,spamassassin,SPAM
4177,4363,spamassassin,spamassassin,SPAM
4297,4366,spamassassin,spamassassin,SPAM
4177,4372,spamassassin,spamassassin,SPAM
4347,4402,spamassassin,spamassassin,SPAM
4253,4425,spamassassin,spamassassin,SPAM
4337,4442,spamassassin,spamassassin,SPAM
4447,4448,spamassassin,spamassassin,SPAM
4444,4462,spamassassin,spamassassin,SPAM
4476,4477,spamassassin,spamassassin,SPAM
4476,4478,spamassassin,spamassassin,SPAM
4384,4481,spamassassin,spamassassin,SPAM
4482,4483,spamassassin,spamassassin,SPAM
4482,4484,spamassassin,spamassassin,SPAM
4482,4485,spamassassin,spamassassin,SPAM
4444,4488,spamassassin,spamassassin,SPAM
4253,4507,spamassassin,spamassassin,SPAM
4506,4517,spamassassin,spamassassin,SPAM
4501,4518,spamassassin,spamassassin,SPAM
4506,4532,spamassassin,spamassassin,SPAM
4539,4540,spamassassin,spamassassin,SPAM
4257,4549,spamassassin,spamassassin,SPAM
4535,4558,spamassassin,spamassassin,SPAM
4545,4567,spamassassin,spamassassin,SPAM
4566,4574,spamassassin,spamassassin,SPAM
4521,4581,spamassassin,spamassassin,SPAM
4400,4588,spamassassin,spamassassin,SPAM
4641,4642,spamassassin,spamassassin,SPAM
4654,4655,spamassassin,spamassassin,SPAM
4675,4676,spamassassin,spamassassin,SPAM
4686,4687,spamassassin,spamassassin,SPAM
4697,4698,spamassassin,spamassassin,SPAM
4713,4714,spamassassin,spamassassin,SPAM
4711,4715,spamassassin,spamassassin,SPAM
4711,4716,spamassassin,spamassassin,SPAM
4711,4722,spamassassin,spamassassin,SPAM
4727,4728,spamassassin,spamassassin,SPAM
